"Категория 1";"Категория 2";"Категория 3";"Категория 4";Артикул;Заголовок;Цена;Валюта;Наличие;Описание;Изображения;Вес;Габариты;Производитель;"Ссылка на товар";ID;"Артикул поставщика";Размер
"Домашняя одежда и текстиль";Рубашки;;;"м377 (2030538310)";"М377 Рубашка «Рандеву» (серый)";750;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/fb0/prigc2zz9svrk2h71x28pfqh0qtnmpsc.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m377-rubashka-randevu-seryy/;2030538310;м377;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Майки и футболки";;;"м446 (0331208609)";"М446 Футболка (деворе) черный";620;RUB;"В наличии";"Ткань: Хлопок 50%, п/э 50%
Ткань: Деворе";https://ivanushka-trikotazh.ru/upload/iblock/f62/mr58ii0rx9h5mof65uo1wu2ptcious4k.JPG;;;;https://ivanushka-trikotazh.ru/catalog/mayki-futbolki/m446-futbolka-devore-chernyy/;0331208609;м446;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Пижамы женские";;;"м445 (01202631169)";"м445 Пижама «Шалунья» (ментол)";730;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кашкорсе-лапша";https://ivanushka-trikotazh.ru/upload/iblock/3d3/c5kzn0tin4943y1dz45hu77gokd21x7n.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m445-pizhama-shalunya-mentol/;01202631169;м445;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Пижамы женские";;;"м445 (036108721)";"м445 Пижама «Шалунья» (голубой)";730;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кашкорсе-лапша";https://ivanushka-trikotazh.ru/upload/iblock/828/cqmq5vmjlu1jyxy1jkmcbi6t74eo5hl4.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m445-pizhama-shalunya-goluboy/;036108721;м445;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м444 (1369699379)";"м444 Костюм «Кира» (абстракция)";1200;RUB;"В наличии";"Ткань: Вискоза 92%, п/у 8%
Ткань: Вискоза";https://ivanushka-trikotazh.ru/upload/iblock/73d/i0v0wlwjl8usevj4bc3t2ba2346pto8q.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m444-kostyum-kira-abstraktsiya/;1369699379;м444;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м444 (058456082)";"м444 Костюм «Кира» (леопард)";1200;RUB;"В наличии";"Ткань: Вискоза 92%, п/у 8%
Ткань: Вискоза";https://ivanushka-trikotazh.ru/upload/iblock/e66/q2b9lyu1yij1nxv3vqcfgyhfnkcazb2j.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m444-kostyum-kira-leopard/;058456082;м444;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Пижамы мужские";;;"кд28 (1768081866)";"КД28 Пижама мужская (буквы индиго)";930;RUB;"В наличии";"Ткань: Хлопок 60%, п/э 40%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/461/j35v4mlnh9ioiswk4s4k285h8xffo4dr.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhamy-muzhskie/kd28-pizhama-muzhskaya-bukvy-indigo/;1768081866;кд28;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Пижамы мужские";;;"кд28 (1469129314)";"КД28 Пижама мужская (буквы на черном)";930;RUB;"В наличии";"Ткань: Хлопок 60%, п/э 40%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/500/bw1qp5s49sf6uvv7n696m2dyk6xbqjid.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhamy-muzhskie/kd28-pizhama-muzhskaya-bukvy-na-chernom/;1469129314;кд28;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Пижамы мужские";;;"кд28 (1097133723)";"КД28 Пижама мужская (синяя клетка)";930;RUB;"В наличии";"Ткань: Хлопок 100%; Хлопок 60%, п/э 40%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/bb1/n4l42ydqktnh7jd55sicybbclfze7338.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhamy-muzhskie/kd28-pizhama-muzhskaya-sinyaya-kletka/;1097133723;кд28;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Большие размеры";;;"кд28 (1826665174)";"КД28 Пижама мужская (темно-синий)";930;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/b87/37odvz8t8lwonoba9i3myv687nw811in.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/kd28-pizhama-muzhskaya-temno-siniy/;1826665174;кд28;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Большие размеры";;;"м178 (227277409)";"М178 брюки мужские, кулирка, 46-60 (серо-черная клетка)";530;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/f08/ro15lr49425jwkb88njuanuen2lq2un6.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m178-bryuki-muzhskie-kulirka-46-60-sero-chernaya-kletka/;227277409;м178;46/48/50/52/54/56/58/60
