"Категория 1";"Категория 2";"Категория 3";"Категория 4";Артикул;Заголовок;Цена;Валюта;Наличие;Описание;Изображения;Вес;Габариты;Производитель;"Ссылка на товар";ID;"Артикул поставщика";Размер
"Домашняя одежда и текстиль";"Пижамы женские";;;"м42 (1774339288)";"М42 Пижама со светлыми рукавами";1160;RUB;"В наличии";"Ткань: Авокадо
Расцветки: Хлопок 100%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/de0/4fxxs674o37cg7o6q7r4yq57tt28oipw.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m42-pizhama-iz-futera-avokado-so-svetlymi-rukavami/;1774339288;м42;42/44/46/48/50/52/54
"Домашняя одежда и текстиль";"Пижамы женские";;;"М 369 (0383924167)";"М369 Модная Пижама ""Скарлет""";790;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/ff2/icizskg7op8ebo9km8785aplb3z7f0l9.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m369-modnaya-pizhama-skarlet/;0383924167;"М 369";44/46/48/50/52/54
"Домашняя одежда и текстиль";"Пижамы женские";;;"М42 (1587770631)";"М42 Пижама (Белая)";1160;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Футер

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/5b0/5b0260050bfa09438cc44545495e3cbc.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m42-pizhama-belaya/;1587770631;М42;46/48
"Домашняя одежда и текстиль";"Пижамы женские";;;"м42 (01088991431)";"М42 Пижама из футера (бабочки на зеленом)";1160;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/00c/t14jl9aaf6c2dn0jqrzlyq5shlp2zsau.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m42-pizhama-iz-futera-babochki-na-zelenom/;01088991431;м42;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м390 (0395390088)";"М390 Пижама «Лагуна» (изумруд)";770;RUB;"В наличии";"Ткань: Хлопок 50%, п/э 50%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/700/cmehgzw82v7pwm51ti61pdla7fgpscl0.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m390-kostyum-laguna-izumrud/;0395390088;м390;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м390 (01976209387)";"М390 Пижама «Лагуна» (коралл)";770;RUB;"В наличии";"Ткань: Хлопок 50%, п/э 50%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/748/doubgfdl9yjfe5i49uev3l0gc6kde3bm.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m390-kostyum-laguna-korall/;01976209387;м390;44/46/48/50/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м390 (0920731277)";"М390 Пижама «Лагуна» (светло-коричневый)";770;RUB;"В наличии";"Ткань: Коричневый
Расцветки: Хлопок 50%, п/э 50%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/b8a/eyr5gdjv2oka55rvwzzbgxcypymyxq4c.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m390-kostyum-laguna-korichnevyy/;0920731277;м390;48/50/52/54/56/58
"Домашняя одежда и текстиль";"Пижамы женские";;;"м388 (02041540365)";"М388 Пижама «Милана» (хаки)";350;RUB;"В наличии";"Ткань: Хлопок 60%, п/э 40%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/d22/wuv40jnm633hgcw1p53u508i4u9xvm36.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m388-pizhama-milana-khaki/;02041540365;м388;42/44/46/48/50/52
"Домашняя одежда и текстиль";"Пижамы женские";;;"м388 (1850382557)";"М388 Пижама «Милана» (полоса)";350;RUB;"В наличии";"Ткань: Хлопок 60%, п/э 40%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/d50/wutiyrslsu7aqwaho2gtk6oiuv8zskz1.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m388-pizhama-milana-polosa/;1850382557;м388;42/44/46/48/50/52
"Домашняя одежда и текстиль";"Пижамы женские";;;"М263 (01928681612)";"М263 Пижама ""Мэри"", масло";500;RUB;"В наличии";"Ткань: Полиэстер 100%
Ткань: Масло";https://ivanushka-trikotazh.ru/upload/iblock/5b6/pxtqamljq2n57awfk50272jpetfon80y.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m263-pizhama-meri-maslo/;01928681612;М263;42/44/46/48/50/52/54/56
"Домашняя одежда и текстиль";"Пижамы женские";;;"М367 (20137943)";"М367 Пижама «Вояж»(синий)";790;RUB;"В наличии";"Ткань: Синий
Расцветки: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/640/hoe5j23x47ni7w7fkczt8lw5nzf4z5j1.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m367-kostyum-voyazh-siniy/;20137943;М367;44/46
"Домашняя одежда и текстиль";"Пижамы женские";;;"М362 (094367386)";"М362 Пижама ""Грета""";400;RUB;"В наличии";"Ткань: Хлопок 60%, п/э 40%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/e2c/1q876glhn8tkoaa0ta58f192m9x32t5a.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/pizhama-greta/;094367386;М362;46/48
"Домашняя одежда и текстиль";"Пижамы женские";;;"м357 (01995358354)";"М357 Пижама ""Таймер""";580;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/dc2/zmhqzsuds040mbvlg970pqwzxnh7a18k.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m357-pizhama-taymer-shorty-mayka/;01995358354;м357;42/44/46/48/50/52
"Домашняя одежда и текстиль";"Бриджи, шорты, брюки и юбки";;;"м358 (01088693374)";"М358 Пижама Таймер (брюки-футболка)";840;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/cba/58z3yi12q8ewkn7gj7hiyfmgzri96m53.JPG;;;;https://ivanushka-trikotazh.ru/catalog/bridgi/m358-pizhama-taymer-bryuki-futbolka/;01088693374;м358;42/44/46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Пижамы женские";;;"м353 (01499508564)";"М353 Пижама Женская ""Ананас""";350;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/a9e/tf5uk0pjtpf9qktd97pjezmx1upogqz6.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m353-pizhama-ananas/;01499508564;м353;42/44
"Домашняя одежда и текстиль";"Пижамы женские";;;"м349 (089055435)";"М349 Пижама «Тропики» (футболка+брюки)";820;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/346/x94482calc9vs2lfxkfby7gbt8wloabv.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m349-pizhama-tropiki-futbolka-bryuki/;089055435;м349;42/44/46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Пижамы женские";;;"м350 (01489932281)";"М350 Пижама «Тропики» (шорты-майка)";660;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/c6a/r6v09ax34lv9tfcghx9l1vg57h4n0lfo.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m350-pizhama-tropiki-shorty-mayka/;01489932281;м350;42/44/46/48/50/52/54/56
"Домашняя одежда и текстиль";"Пижамы женские";;;"М21 (1645116407)";"М21 Пижама женская «Влада»";450;RUB;"В наличии";"Ткань: Хлопок 100% (футболка); Хлопок 50%, п/э 50%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/b80/ds8wls37nhxc9plp0vygooib0eff998q.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m21-pizhama-zhenskaya-vlada/;1645116407;М21;46/48/50/52
"Домашняя одежда и текстиль";"Пижамы женские";;;"М43 (1157448162)";"М43 Пижама ""Мальвина"" (распродажа)";300;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Товар по распродаже, поэтому отгрузка без выбора расцветки";https://ivanushka-trikotazh.ru/upload/iblock/e3d/e3dba444137a61a0a59e39536ac4c319.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m43-pizhama-malvina-rasprodazha/;1157448162;М43;42/44
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"М227 (1080150769)";"М227 Пижама Панды";400;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/ad3/ad3c7c422a3af9dc76fb8082059634c0.jpg;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m-227-kostyum-pandy/;1080150769;М227;42/44/50/52
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"М227 (1679669077)";"М227 Пижама Мыши";400;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/40c/40c05af3a33ffdda947247ef78ddefd7.jpg;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m-227-kostyum-myshi/;1679669077;М227;50/52
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"М301 (1567437822)";"М301 Пижама «Привет»";380;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/f9c/f9c92316f5196e7cbe09ab0b5b26a36c.jpg;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m-301-kostyum-privet/;1567437822;М301;42/44/50/52/54/56
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"М313 (1590980115)";"М313 Пижама Эстель";350;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/4bb/4bb895792139bd52792ed298a90d88b2.jpg;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m313-kostyum-estel/;1590980115;М313;42/44/46/48/50/52/54/56
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"М323 (01310133371)";"М323 Пижама ""Курорт""";250;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/9a4/9a4c331fc5d474ecfa53e21b31e4f0c6.jpg;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m323-kostyum-kurort-42-56-kulirka/;01310133371;М323;42/44/46/48/50/52/54/56
"Домашняя одежда и текстиль";"Пижамы женские";;;"М136 (408400778)";"М136 Пижама ""Нежность""";200;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Товар по распродаже, поэтому отгрузка без выбора расцветки";https://ivanushka-trikotazh.ru/upload/iblock/236/236b698591cd91d0567875a12ccfb8a2.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m136-pizhama-nezhnost/;408400778;М136;42/44
"Домашняя одежда и текстиль";"Пижамы женские";;;"М22 (0905653375)";"М22 Пижама фланелевая";790;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Фланель

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/91c/1h32f5n8821qwniksmntrdmjnixrj896.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m22-pizhama-flanelevaya/;0905653375;М22;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Пижамы женские";;;"М206 (01286598366)";"М206 Пижама ""Вечерок""";450;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Футер

Товар по распродаже, поэтому отгрузка без выбора расцветки";https://ivanushka-trikotazh.ru/upload/iblock/7d0/7d006efa046bc419472283b3f548a6b0.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m206-pizhama-vecherok-na-pugovitsakh/;01286598366;М206;44/46
"Домашняя одежда и текстиль";"Пижамы женские";;;"М132 (2027729003)";"М132 Пижама ""Матильда""";360;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Товар по распродаже, поэтому отгрузка без выбора расцветки";https://ivanushka-trikotazh.ru/upload/iblock/8b9/8b9efe2d554911e7b3246ace9098ddc9.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m132-pizhama-matilda/;2027729003;М132;42/44
"Домашняя одежда и текстиль";"Пижамы женские";;;"М182 (0284703732)";"М182 Пижама ""Королева роз"" ассорти (распродажа)";200;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Товар по распродаже, поэтому отгрузка без выбора расцветки";https://ivanushka-trikotazh.ru/upload/iblock/2f1/2f1397d38d3592d520347e014c235d46.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m182-pizhama-bridzhi-koroleva-roz/;0284703732;М182;42/44
"Домашняя одежда и текстиль";"Пижамы женские";;;"М137 (01103594356)";"М137 Пижама ""Берта""";200;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Товар по распродаже, поэтому отгрузка без выбора расцветки";https://ivanushka-trikotazh.ru/upload/iblock/1c8/1c83d8dd75e2ccd550c9598b1ea0eb38.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m137-pizhama-berta/;01103594356;М137;42/44
"Домашняя одежда и текстиль";"Пижамы женские";;;"М181 (892045295)";"М181 Пижама Женская ""Дружок""";360;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/554/5547dcba83ad4e6bb13edfaf409ef4af.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m181-pizhama-zhenskaya-druzhok/;892045295;М181;50/52
"Домашняя одежда и текстиль";"Пижамы женские";;;"М116 (2137892615)";"М116 Пижама ""Матрешка""";450;RUB;"В наличии";"Ткань: Хлопок 29% ПЭ 71%
Ткань: Батист

Товар по распродаже, поэтому отгрузка без выбора расцветки";https://ivanushka-trikotazh.ru/upload/iblock/f58/f5885b36d1dfb4ab647960780fed4532.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m116-pizhama-matreshka/;2137892615;М116;42/44/54/56
"Домашняя одежда и текстиль";"Пижамы женские";;;"М120 (01561581994)";"М120 Пижама ""Матрешка""";370;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/7f8/0dttxlbhpq81o061ufp30c0jn74vgs73.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m120-pizhama-matreshka/;01561581994;М120;42/44/46/48/50/52/54/56
"Домашняя одежда и текстиль";"Пижамы женские";;;"М42 (1090069616)";"М42 Пижама из футера";1160;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Футер

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/9fd/9fdd7019f180bd9de4339a732c728012.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m42-pizhama-iz-futera/;1090069616;М42;42/44/46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Пижамы женские";;;"М23 (01654028397)";"М23 Пижама с шортами";360;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/547/xubxwsy4yx7ygt18vg3uejf3xseamcus.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m23-pizhama-s-shortami/;01654028397;М23;42/44/46/48/50/52/54/56
"Домашняя одежда и текстиль";"Пижамы женские";;;"М26 (933913600)";"М26 Пижама ""Анжелика""";400;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/0e4/bhmuqtillfcmeodgv8r897ggez04bn3k.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m26-pizhama-anzhelika/;933913600;М26;42/44/46/48/50/52/54/56
"Домашняя одежда и текстиль";"Пижамы женские";;;"М63 (0464439027)";"М63 Пижама ""Зая""";400;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/662/tvkenshklg5k6jxxfcn63j4w9yrkc9c1.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m63-pizhama-zaya/;0464439027;М63;42/44
"Домашняя одежда и текстиль";"Пижамы женские";;;"М72 (751482865)";"М72 Пижама ""Валентинка""(ассорти)";250;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/13a/13a87a5ff7c7bcedab1fd3d018cf9c5e.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m72%20pizhama-valentinka/;751482865;М72;42/44/46/48/50/52/54/56
"Домашняя одежда и текстиль";"Пижамы женские";;;"М245 (754786544)";"М245 Пижама ""Мурка"" (розовый)";300;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/845/845242761d8d6389d31c4275af4a9afd.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m-245-pizhama-s-shortami-murka-rozovyy/;754786544;М245;42/44
"Домашняя одежда и текстиль";"Пижамы женские";;;"к5 (229306034)";"К5 Пижама  ""Кошка"", бриджи (розовый)";350;RUB;"В наличии";"Ткань: Хлопок 50%, п/э 50%
Ткань: Пол кулирка";https://ivanushka-trikotazh.ru/upload/iblock/b8a/b8a15c9b1268500640b5293cfb2c7790.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/k5-kostyum-koshka-bridzhi/;229306034;к5;42/44
"Домашняя одежда и текстиль";"Пижамы женские";;;"м152 (504208254)";"М152 Пижама ""Серенада"" (ассорти)";760;RUB;"В наличии";"Ткань: Ассорти
Расцветки: Вискоза 92%, п/у 8%
Ткань: Вискоза";https://ivanushka-trikotazh.ru/upload/iblock/9ba/c5yx4bdd71arh0d1s6ftb47v4s22wt01.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m152-kostyum-serenada-assorti/;504208254;м152;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Пижамы женские";;;"М27 (01576471184)";"М27 Пижама Женская";440;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Ситец Шуя

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/307/92hfdv5trmvotq6g2x7wjq8zdmaghhyy.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m27-pizhama-s-bridzhami/;01576471184;М27;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Пижамы женские";;;"м203 (1808314770)";"М203 Пижама  ""Ёжик""";400;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/e74/e74d6b3b81ba19f1e32d6e3b905ffd13.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m203-kostyum-yezhik/;1808314770;м203;42/44/50/52
"Домашняя одежда и текстиль";"Пижамы женские";;;"М316 (01593292640)";"М316 Пижама ""Барбара"" (авокадо)";1100;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/d60/d60bf734c7988f90eee0bbe967cb701a.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m316-pizhama-barbara-avokado/;01593292640;М316;44/46/52/54
"Домашняя одежда и текстиль";"Пижамы женские";;;"М316 (01775225678)";"М316 Пижама ""Барбара"" (буквы)";1100;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/f26/f26ab38b26a4f6dbba905adcacf9391f.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m316-pizhama-barbara-bukvy/;01775225678;М316;52/54
"Домашняя одежда и текстиль";"Пижамы женские";;;"М244 (578727859)";"М244 Пижама ""Мурка"" (розовый)";300;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/8fe/8fe2342c9b95c8aaf8ae79a5375cc7c0.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m244-pizhama-s-bridzhami-murka-rozovyy/;578727859;М244;48/50
"Домашняя одежда и текстиль";"Пижамы женские";;;"м152 (1750419377)";"М152 Пижама ""Серенада"" (горох)";760;RUB;"В наличии";"Ткань: Вискоза 92%, п/у 8%
Ткань: Вискоза";https://ivanushka-trikotazh.ru/upload/iblock/95e/95ea3de9831435a7370d6c59657f0f35.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m152-kostyum-serenada-gorokh/;1750419377;м152;46/48/58/60
"Домашняя одежда и текстиль";"Пижамы женские";;;"м152 (01730812005)";"М152 Пижама ""Серенада""";760;RUB;"В наличии";"Ткань: Вискоза 92%, п/у 8%
Ткань: Вискоза";https://ivanushka-trikotazh.ru/upload/iblock/0b1/li8im7jh8kyu1bu2p2m9jt3gk0u1b9ty.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m152-kostyum-serenada-9tsvety/;01730812005;м152;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Пижамы женские";;;"М43 (299049768)";"М43 Пижама Женская ""Мальвина""";380;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка

Товар по распродаже, поэтому отгрузка без выбора расцветки";https://ivanushka-trikotazh.ru/upload/iblock/6c1/yd9ntkllu7ttytltad68njot67m5yr8l.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m43-pizhama-malvina/;299049768;М43;42/44
"Домашняя одежда и текстиль";"Пижамы женские";;;"М72 (93414545)";"М72 Пижама ""Валентинка"" (хаки горох)";490;RUB;"В наличии";"Ткань: Хлопок 60%, п/э 40%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/999/9995c987b3e438a543c68c05bbfa5f2f.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m72-pizhama-valentinka-khaki-gorokh/;93414545;М72;42/44
"Домашняя одежда и текстиль";"Пижамы женские";;;"м337 (13456265)";"М337 Пижама ""Уют""";1100;RUB;"В наличии";"Ткань: Хлопок 59% п/э 41%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/623/6231aba2821c0cf321ab4affc0d9dc42.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m337-pizhama-uyut-na-pugovitsakh/;13456265;м337;44/46/48/50
"Домашняя одежда и текстиль";"Пижамы женские";;;"М245 (81135161)";"М245 Пижама «Мурка» (ментол)";300;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/4e1/4e1dec71e604855ce902f2c495241bf2.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m-245-pizhama-s-shortami-murka-mentol/;81135161;М245;42/44/46/48/50/52
"Домашняя одежда и текстиль";"Пижамы женские";;;"М344 (1828286086)";"М344 Пижама ""Вишенка""";580;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/782/78225c94d3e0cd4efeace8bf9fad4d86.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m344-pizhama-s-bridzhami-vishenka/;1828286086;М344;46/48/50/52/58/60
"Домашняя одежда и текстиль";"Пижамы женские";;;"М342 (417953339)";"М342 Пижама ""Марсель"" (хаки)";350;RUB;"В наличии";"Ткань: Хлопок 60%, п/э 40%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/c4d/c4d295c360947bb45ddf545fcbf6611b.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m342-pizhama-s-shortami-marsel-khaki/;417953339;М342;42/44/46/48/50/52/54/56
"Домашняя одежда и текстиль";"Пижамы женские";;;"М342 (01476384119)";"М342 Пижама ""Марсель"" (хаки полоса)";350;RUB;"В наличии";"Ткань: Хлопок 60%, п/э 40%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/f59/f59a4730750ab260c76d37e9e995ff26.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m342-pizhama-s-shortami-marsel-khaki-polosa-/;01476384119;М342;42/44/46/48/50/52
"Домашняя одежда и текстиль";"Пижамы мужские";;;"кд 28 (89213119)";"КД28 Пижама мужская (коричневый)";890;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/f18/s1299gz4o68izbhnfohzwuea4g868t8q.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhamy-muzhskie/kd28-pizhama-muzhskaya-korichnevyy/;89213119;"кд 28";46/48/58/60
"Домашняя одежда и текстиль";"Пижамы мужские";;;"КД28 (01778178809)";"КД28 Пижама Мужская, брюки без лампас";890;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/ecc/ecc20f54ee98b7dd3943f30268c7e6c0.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhamy-muzhskie/kd28-pizhama-muzhskaya/;01778178809;КД28;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Пижамы мужские";;;"М123 (0519856298)";"М123 Пижама мужская бязевая";630;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Бязь

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/a2a/a2abb3e53f9dd02d461c1a4d25812498.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhamy-muzhskie/m123-pizhama-muzhskaya-byazevaya/;0519856298;М123;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Пижамы мужские";;;"М92 (2001887475)";"М92 Пижама Мужская Фланелевая";1010;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Фланель

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/b76/b7646a06ed4c084f223e6c6561014849.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhamy-muzhskie/m92-pizhama-muzhskaya-flanelevaya/;2001887475;М92;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Пижамы мужские";;;"М92а (600218274)";"М92а Пижама мужская фланелевая";1240;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Фланель

Расцветки - в ассортименте и могут отличаться от представленных на сайте";https://ivanushka-trikotazh.ru/upload/iblock/a48/a4894cdea0d142ecda9aaa2d0462b731.jpg;;;;https://ivanushka-trikotazh.ru/catalog/pizhamy-muzhskie/m92a-pizhama-muzhskaya-flanelevaya/;600218274;М92а;62/64/66/68/70/72
